LineId,Time,Level,Content,EventId,EventTemplate,variables
62,Sun Dec 04 04:56:52 2005,notice,jk2_init() Found child 8527 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '10', '8527']"
63,Sun Dec 04 04:56:52 2005,notice,jk2_init() Found child 8533 in scoreboard slot 8,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '8', '8533']"
64,Sun Dec 04 04:56:57 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
65,Sun Dec 04 04:56:57 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
66,Sun Dec 04 04:56:59 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
67,Sun Dec 04 04:57:00 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
68,Sun Dec 04 04:57:20 2005,notice,jk2_init() Found child 8536 in scoreboard slot 6,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '6', '8536']"
69,Sun Dec 04 04:57:20 2005,notice,jk2_init() Found child 8539 in scoreboard slot 7,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '7', '8539']"
70,Sun Dec 04 04:57:24 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
71,Sun Dec 04 04:57:24 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
72,Sun Dec 04 04:57:24 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
73,Sun Dec 04 04:57:24 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
74,Sun Dec 04 04:57:49 2005,notice,jk2_init() Found child 8541 in scoreboard slot 9,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '9', '8541']"
75,Sun Dec 04 04:58:11 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
76,Sun Dec 04 04:58:18 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
77,Sun Dec 04 04:58:45 2005,notice,jk2_init() Found child 8547 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '10', '8547']"
78,Sun Dec 04 04:58:57 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
79,Sun Dec 04 04:58:58 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
80,Sun Dec 04 04:59:28 2005,notice,jk2_init() Found child 8554 in scoreboard slot 6,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '6', '8554']"
81,Sun Dec 04 04:59:27 2005,notice,jk2_init() Found child 8553 in scoreboard slot 8,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '8', '8553']"
82,Sun Dec 04 04:59:35 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
83,Sun Dec 04 04:59:35 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
84,Sun Dec 04 04:59:38 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
85,Sun Dec 04 04:59:38 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
86,Sun Dec 04 05:00:03 2005,notice,jk2_init() Found child 8560 in scoreboard slot 7,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '7', '8560']"
87,Sun Dec 04 05:00:09 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
88,Sun Dec 04 05:00:09 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
89,Sun Dec 04 05:00:13 2005,notice,jk2_init() Found child 8565 in scoreboard slot 9,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '9', '8565']"
90,Sun Dec 04 05:00:13 2005,notice,jk2_init() Found child 8573 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '10', '8573']"
91,Sun Dec 04 05:00:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
92,Sun Dec 04 05:00:15 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
93,Sun Dec 04 05:00:15 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
94,Sun Dec 04 05:00:15 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
95,Sun Dec 04 05:01:20 2005,notice,jk2_init() Found child 8584 in scoreboard slot 7,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '7', '8584']"
96,Sun Dec 04 05:01:20 2005,notice,jk2_init() Found child 8587 in scoreboard slot 9,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '9', '8587']"
97,Sun Dec 04 05:02:14 2005,notice,jk2_init() Found child 8603 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '10', '8603']"
98,Sun Dec 04 05:02:14 2005,notice,jk2_init() Found child 8605 in scoreboard slot 8,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '8', '8605']"
99,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8764 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '10', '8764']"
100,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8765 in scoreboard slot 11,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '11', '8765']"
101,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8763 in scoreboard slot 9,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '9', '8763']"
102,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8744 in scoreboard slot 8,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '8', '8744']"
103,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8743 in scoreboard slot 7,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '7', '8743']"
104,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8738 in scoreboard slot 6,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '6', '8738']"
105,Sun Dec 04 05:04:03 2005,notice,jk2_init() Found child 8766 in scoreboard slot 12,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '12', '8766']"
106,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
107,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
108,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
109,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
110,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
111,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
112,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
113,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
114,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
115,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
116,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
117,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
118,Sun Dec 04 05:04:04 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
119,Sun Dec 04 05:04:04 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
120,Sun Dec 04 05:11:51 2005,notice,jk2_init() Found child 25792 in scoreboard slot 6,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '6', '25792']"
121,Sun Dec 04 05:12:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
122,Sun Dec 04 05:12:10 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
123,Sun Dec 04 05:12:26 2005,notice,jk2_init() Found child 25798 in scoreboard slot 7,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '7', '25798']"
124,Sun Dec 04 05:12:26 2005,notice,jk2_init() Found child 25803 in scoreboard slot 8,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '8', '25803']"
125,Sun Dec 04 05:12:28 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
126,Sun Dec 04 05:12:28 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
127,Sun Dec 04 05:12:28 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
128,Sun Dec 04 05:12:28 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
129,Sun Dec 04 05:12:30 2005,notice,jk2_init() Found child 25805 in scoreboard slot 9,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '9', '25805']"
130,Sun Dec 04 05:12:30 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
131,Sun Dec 04 05:12:30 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
132,Sun Dec 04 05:15:09 2005,error,[client 222.166.160.184] Directory index forbidden by rule: /var/www/html/,E4,[client <*> Directory index forbidden by rule: /var/www/html/,[['222.166.160.184']]
133,Sun Dec 04 05:15:13 2005,notice,jk2_init() Found child 1000 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '10', '1000']"
134,Sun Dec 04 05:15:16 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
135,Sun Dec 04 05:15:16 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
136,Sun Dec 04 06:01:00 2005,notice,jk2_init() Found child 32347 in scoreboard slot 6,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '6', '32347']"
137,Sun Dec 04 06:01:00 2005,notice,jk2_init() Found child 32348 in scoreboard slot 7,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '7', '32348']"
138,Sun Dec 04 06:01:21 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
139,Sun Dec 04 06:01:21 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
140,Sun Dec 04 06:01:30 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
141,Sun Dec 04 06:01:42 2005,notice,jk2_init() Found child 32352 in scoreboard slot 9,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '9', '32352']"
142,Sun Dec 04 06:01:42 2005,notice,jk2_init() Found child 32353 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '10', '32353']"
143,Sun Dec 04 06:01:42 2005,notice,jk2_init() Found child 32354 in scoreboard slot 6,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '6', '32354']"
144,Sun Dec 04 06:02:01 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
145,Sun Dec 04 06:02:02 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
146,Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32359 in scoreboard slot 9,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '9', '32359']"
147,Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32360 in scoreboard slot 11,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '11', '32360']"
148,Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32358 in scoreboard slot 8,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '8', '32358']"
149,Sun Dec 04 06:02:05 2005,notice,jk2_init() Found child 32355 in scoreboard slot 7,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '7', '32355']"
150,Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
151,Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
152,Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
153,Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
154,Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
155,Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
156,Sun Dec 04 06:02:07 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
157,Sun Dec 04 06:02:07 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
158,Sun Dec 04 06:06:00 2005,notice,jk2_init() Found child 32388 in scoreboard slot 8,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '8', '32388']"
159,Sun Dec 04 06:06:00 2005,notice,jk2_init() Found child 32387 in scoreboard slot 7,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '7', '32387']"
160,Sun Dec 04 06:06:00 2005,notice,jk2_init() Found child 32386 in scoreboard slot 6,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '6', '32386']"
161,Sun Dec 04 06:06:10 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
162,Sun Dec 04 06:06:11 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
163,Sun Dec 04 06:06:12 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
164,Sun Dec 04 06:06:12 2005,error,mod_jk child workerEnv in error state 6,E1,mod_jk child workerEnv in error state <*>,"[[], '6']"
165,Sun Dec 04 06:06:20 2005,notice,jk2_init() Found child 32389 in scoreboard slot 9,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '9', '32389']"
166,Sun Dec 04 06:06:24 2005,notice,jk2_init() Found child 32391 in scoreboard slot 10,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '10', '32391']"
167,Sun Dec 04 06:06:24 2005,notice,jk2_init() Found child 32390 in scoreboard slot 8,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '8', '32390']"
168,Sun Dec 04 06:06:24 2005,notice,jk2_init() Found child 32392 in scoreboard slot 6,E3,jk2_init() Found child <*> in scoreboard slot <*>,"[[], '6', '32392']"
169,Sun Dec 04 06:06:26 2005,notice,workerEnv.init() ok /etc/httpd/conf/workers2.properties,E0,workerEnv.init() ok /etc/httpd/conf/workers2.properties,[[]]
170,Sun Dec 04 06:06:26 2005,error,mod_jk child workerEnv in error state 7,E1,mod_jk child workerEnv in error state <*>,"[[], '7']"
