LineId,Month,Date,Time,Level,Component,PID,Content,EventId,EventTemplate,variables
11,Jun,15,02:04:59,combo,sshd(pam_unix),20896.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= root,"[[], '220-135-151-1.hinet-ip.hinet.net']"
12,Jun,15,02:04:59,combo,sshd(pam_unix),20897.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= root,"[[], '220-135-151-1.hinet-ip.hinet.net']"
13,Jun,15,02:04:59,combo,sshd(pam_unix),20898.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=220-135-151-1.hinet-ip.hinet.net  user=root,E19,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= root,"[[], '220-135-151-1.hinet-ip.hinet.net']"
14,Jun,15,04:06:18,combo,su(pam_unix),21416.0,session opened for user cyrus by (uid=0),E23,session opened for user <*> by (uid= <*>,"[[], 'cyrus']"
15,Jun,15,04:06:19,combo,su(pam_unix),21416.0,session closed for user cyrus,E26,session closed for user <*>,"[[], 'cyrus']"
16,Jun,15,04:06:20,combo,logrotate,,ALERT exited abnormally with [1],E27,ALERT exited abnormally with <*>,[[]]
17,Jun,15,04:12:42,combo,su(pam_unix),22644.0,session opened for user news by (uid=0),E23,session opened for user <*> by (uid= <*>,"[[], 'news']"
18,Jun,15,04:12:43,combo,su(pam_unix),22644.0,session closed for user news,E26,session closed for user <*>,"[[], 'news']"
19,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,check pass; user unknown,E1,check pass; user unknown,[[]]
20,Jun,15,12:12:34,combo,sshd(pam_unix),23397.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
21,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,check pass; user unknown,E1,check pass; user unknown,[[]]
22,Jun,15,12:12:34,combo,sshd(pam_unix),23395.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
23,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,check pass; user unknown,E1,check pass; user unknown,[[]]
24,Jun,15,12:12:34,combo,sshd(pam_unix),23404.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
25,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,check pass; user unknown,E1,check pass; user unknown,[[]]
26,Jun,15,12:12:34,combo,sshd(pam_unix),23399.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
27,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,check pass; user unknown,E1,check pass; user unknown,[[]]
28,Jun,15,12:12:34,combo,sshd(pam_unix),23406.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
29,Jun,15,12:12:34,combo,sshd(pam_unix),23396.0,check pass; user unknown,E1,check pass; user unknown,[[]]
30,Jun,15,12:12:34,combo,sshd(pam_unix),23394.0,check pass; user unknown,E1,check pass; user unknown,[[]]
31,Jun,15,12:12:34,combo,sshd(pam_unix),23407.0,check pass; user unknown,E1,check pass; user unknown,[[]]
32,Jun,15,12:12:34,combo,sshd(pam_unix),23394.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
33,Jun,15,12:12:34,combo,sshd(pam_unix),23403.0,check pass; user unknown,E1,check pass; user unknown,[[]]
34,Jun,15,12:12:34,combo,sshd(pam_unix),23396.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
35,Jun,15,12:12:34,combo,sshd(pam_unix),23407.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
36,Jun,15,12:12:34,combo,sshd(pam_unix),23403.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
37,Jun,15,12:12:34,combo,sshd(pam_unix),23412.0,check pass; user unknown,E1,check pass; user unknown,[[]]
38,Jun,15,12:12:34,combo,sshd(pam_unix),23412.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
39,Jun,15,12:13:19,combo,sshd(pam_unix),23414.0,check pass; user unknown,E1,check pass; user unknown,[[]]
40,Jun,15,12:13:19,combo,sshd(pam_unix),23414.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
41,Jun,15,12:13:20,combo,sshd(pam_unix),23416.0,check pass; user unknown,E1,check pass; user unknown,[[]]
42,Jun,15,12:13:20,combo,sshd(pam_unix),23416.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=218.188.2.4,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[['218.188.2.4'], '<*>']"
43,Jun,15,14:53:32,combo,sshd(pam_unix),23661.0,check pass; user unknown,E1,check pass; user unknown,[[]]
44,Jun,15,14:53:32,combo,sshd(pam_unix),23661.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], '061092085098.ctinets.com']"
45,Jun,15,14:53:32,combo,sshd(pam_unix),23663.0,check pass; user unknown,E1,check pass; user unknown,[[]]
46,Jun,15,14:53:32,combo,sshd(pam_unix),23663.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], '061092085098.ctinets.com']"
47,Jun,15,14:53:32,combo,sshd(pam_unix),23664.0,check pass; user unknown,E1,check pass; user unknown,[[]]
48,Jun,15,14:53:32,combo,sshd(pam_unix),23664.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], '061092085098.ctinets.com']"
49,Jun,15,14:53:33,combo,sshd(pam_unix),23665.0,check pass; user unknown,E1,check pass; user unknown,[[]]
50,Jun,15,14:53:33,combo,sshd(pam_unix),23665.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], '061092085098.ctinets.com']"
51,Jun,15,14:53:34,combo,sshd(pam_unix),23669.0,check pass; user unknown,E1,check pass; user unknown,[[]]
52,Jun,15,14:53:34,combo,sshd(pam_unix),23669.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], '061092085098.ctinets.com']"
53,Jun,15,14:53:35,combo,sshd(pam_unix),23671.0,check pass; user unknown,E1,check pass; user unknown,[[]]
54,Jun,15,14:53:35,combo,sshd(pam_unix),23671.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], '061092085098.ctinets.com']"
55,Jun,15,14:53:35,combo,sshd(pam_unix),23673.0,check pass; user unknown,E1,check pass; user unknown,[[]]
56,Jun,15,14:53:35,combo,sshd(pam_unix),23673.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], '061092085098.ctinets.com']"
57,Jun,15,14:53:35,combo,sshd(pam_unix),23674.0,check pass; user unknown,E1,check pass; user unknown,[[]]
58,Jun,15,14:53:35,combo,sshd(pam_unix),23674.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], '061092085098.ctinets.com']"
59,Jun,15,14:53:36,combo,sshd(pam_unix),23678.0,check pass; user unknown,E1,check pass; user unknown,[[]]
60,Jun,15,14:53:36,combo,sshd(pam_unix),23678.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], '061092085098.ctinets.com']"
61,Jun,15,14:53:36,combo,sshd(pam_unix),23677.0,check pass; user unknown,E1,check pass; user unknown,[[]]
62,Jun,15,14:53:36,combo,sshd(pam_unix),23677.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=061092085098.ctinets.com,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], '061092085098.ctinets.com']"
63,Jun,15,20:05:31,combo,sshd(pam_unix),24138.0,check pass; user unknown,E1,check pass; user unknown,[[]]
64,Jun,15,20:05:31,combo,sshd(pam_unix),24138.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'd211-116-254-214.rev.krline.net']"
65,Jun,15,20:05:31,combo,sshd(pam_unix),24137.0,check pass; user unknown,E1,check pass; user unknown,[[]]
66,Jun,15,20:05:31,combo,sshd(pam_unix),24137.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'd211-116-254-214.rev.krline.net']"
67,Jun,15,20:05:31,combo,sshd(pam_unix),24141.0,check pass; user unknown,E1,check pass; user unknown,[[]]
68,Jun,15,20:05:31,combo,sshd(pam_unix),24141.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'd211-116-254-214.rev.krline.net']"
69,Jun,15,20:05:31,combo,sshd(pam_unix),24140.0,check pass; user unknown,E1,check pass; user unknown,[[]]
70,Jun,15,20:05:31,combo,sshd(pam_unix),24140.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'd211-116-254-214.rev.krline.net']"
71,Jun,15,20:05:31,combo,sshd(pam_unix),24139.0,check pass; user unknown,E1,check pass; user unknown,[[]]
72,Jun,15,20:05:31,combo,sshd(pam_unix),24139.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=d211-116-254-214.rev.krline.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'd211-116-254-214.rev.krline.net']"
73,Jun,16,04:10:22,combo,su(pam_unix),25178.0,session opened for user cyrus by (uid=0),E23,session opened for user <*> by (uid= <*>,"[[], 'cyrus']"
74,Jun,16,04:10:23,combo,su(pam_unix),25178.0,session closed for user cyrus,E26,session closed for user <*>,"[[], 'cyrus']"
75,Jun,16,04:10:24,combo,logrotate,,ALERT exited abnormally with [1],E27,ALERT exited abnormally with <*>,[[]]
76,Jun,16,04:16:17,combo,su(pam_unix),25548.0,session opened for user news by (uid=0),E23,session opened for user <*> by (uid= <*>,"[[], 'news']"
77,Jun,16,04:16:18,combo,su(pam_unix),25548.0,session closed for user news,E26,session closed for user <*>,"[[], 'news']"
78,Jun,17,04:03:33,combo,su(pam_unix),27953.0,session opened for user cyrus by (uid=0),E23,session opened for user <*> by (uid= <*>,"[[], 'cyrus']"
79,Jun,17,04:03:34,combo,su(pam_unix),27953.0,session closed for user cyrus,E26,session closed for user <*>,"[[], 'cyrus']"
80,Jun,17,04:03:36,combo,logrotate,,ALERT exited abnormally with [1],E27,ALERT exited abnormally with <*>,[[]]
81,Jun,17,04:09:43,combo,su(pam_unix),29190.0,session opened for user news by (uid=0),E23,session opened for user <*> by (uid= <*>,"[[], 'news']"
82,Jun,17,04:09:45,combo,su(pam_unix),29190.0,session closed for user news,E26,session closed for user <*>,"[[], 'news']"
83,Jun,17,07:07:00,combo,ftpd,29504.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['24.54.76.216', '07:07:00', 'Jun'], '17', 'Fri', '(24-54-76-216.bflony.adelphia.net)']"
84,Jun,17,07:07:00,combo,ftpd,29508.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['24.54.76.216', '07:07:00', 'Jun'], '17', 'Fri', '(24-54-76-216.bflony.adelphia.net)']"
85,Jun,17,07:07:00,combo,ftpd,29507.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['24.54.76.216', '07:07:00', 'Jun'], '17', 'Fri', '(24-54-76-216.bflony.adelphia.net)']"
86,Jun,17,07:07:00,combo,ftpd,29505.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['24.54.76.216', '07:07:00', 'Jun'], '17', 'Fri', '(24-54-76-216.bflony.adelphia.net)']"
87,Jun,17,07:07:00,combo,ftpd,29506.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['24.54.76.216', '07:07:00', 'Jun'], '17', 'Fri', '(24-54-76-216.bflony.adelphia.net)']"
88,Jun,17,07:07:00,combo,ftpd,29509.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:00 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['24.54.76.216', '07:07:00', 'Jun'], '17', 'Fri', '(24-54-76-216.bflony.adelphia.net)']"
89,Jun,17,07:07:02,combo,ftpd,29510.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:02 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['24.54.76.216', '07:07:02', 'Jun'], '17', 'Fri', '(24-54-76-216.bflony.adelphia.net)']"
90,Jun,17,07:07:04,combo,ftpd,29511.0,connection from 24.54.76.216 (24-54-76-216.bflony.adelphia.net) at Fri Jun 17 07:07:04 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['24.54.76.216', '07:07:04', 'Jun'], '17', 'Fri', '(24-54-76-216.bflony.adelphia.net)']"
91,Jun,17,19:43:13,combo,sshd(pam_unix),30565.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=211.46.224.253  user=guest,E20,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*> user= guest,"[['211.46.224.253'], '<*>']"
92,Jun,17,20:29:26,combo,sshd(pam_unix),30631.0,session opened for user test by (uid=509),E23,session opened for user <*> by (uid= <*>,"[[], 'test']"
93,Jun,17,20:34:57,combo,sshd(pam_unix),30631.0,session closed for user test,E26,session closed for user <*>,"[[], 'test']"
94,Jun,17,20:55:06,combo,ftpd,30755.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['82.252.162.81', '20:55:06', 'Jun'], '17', 'Fri', '(lns-vlq-45-tou-82-252-162-81.adsl.proxad.net)']"
95,Jun,17,20:55:06,combo,ftpd,30754.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['82.252.162.81', '20:55:06', 'Jun'], '17', 'Fri', '(lns-vlq-45-tou-82-252-162-81.adsl.proxad.net)']"
96,Jun,17,20:55:06,combo,ftpd,30753.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['82.252.162.81', '20:55:06', 'Jun'], '17', 'Fri', '(lns-vlq-45-tou-82-252-162-81.adsl.proxad.net)']"
97,Jun,17,20:55:06,combo,ftpd,30756.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['82.252.162.81', '20:55:06', 'Jun'], '17', 'Fri', '(lns-vlq-45-tou-82-252-162-81.adsl.proxad.net)']"
98,Jun,17,20:55:06,combo,ftpd,30757.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:06 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['82.252.162.81', '20:55:06', 'Jun'], '17', 'Fri', '(lns-vlq-45-tou-82-252-162-81.adsl.proxad.net)']"
99,Jun,17,20:55:07,combo,ftpd,30758.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['82.252.162.81', '20:55:07', 'Jun'], '17', 'Fri', '(lns-vlq-45-tou-82-252-162-81.adsl.proxad.net)']"
100,Jun,17,20:55:07,combo,ftpd,30759.0,connection from 82.252.162.81 (lns-vlq-45-tou-82-252-162-81.adsl.proxad.net) at Fri Jun 17 20:55:07 2005,E51,connection from <*> <*> at <*> <*> <*> <*> <*>,"[['82.252.162.81', '20:55:07', 'Jun'], '17', 'Fri', '(lns-vlq-45-tou-82-252-162-81.adsl.proxad.net)']"
101,Jun,18,01:30:59,combo,sshd(pam_unix),31201.0,check pass; user unknown,E1,check pass; user unknown,[[]]
102,Jun,18,01:30:59,combo,sshd(pam_unix),31201.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']"
103,Jun,18,01:30:59,combo,sshd(pam_unix),31199.0,check pass; user unknown,E1,check pass; user unknown,[[]]
104,Jun,18,01:30:59,combo,sshd(pam_unix),31199.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']"
105,Jun,18,01:30:59,combo,sshd(pam_unix),31198.0,check pass; user unknown,E1,check pass; user unknown,[[]]
106,Jun,18,01:30:59,combo,sshd(pam_unix),31198.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']"
107,Jun,18,01:30:59,combo,sshd(pam_unix),31202.0,check pass; user unknown,E1,check pass; user unknown,[[]]
108,Jun,18,01:30:59,combo,sshd(pam_unix),31202.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']"
109,Jun,18,01:30:59,combo,sshd(pam_unix),31205.0,check pass; user unknown,E1,check pass; user unknown,[[]]
110,Jun,18,01:30:59,combo,sshd(pam_unix),31205.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']"
111,Jun,18,01:30:59,combo,sshd(pam_unix),31200.0,check pass; user unknown,E1,check pass; user unknown,[[]]
112,Jun,18,01:30:59,combo,sshd(pam_unix),31200.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']"
113,Jun,18,01:30:59,combo,sshd(pam_unix),31206.0,check pass; user unknown,E1,check pass; user unknown,[[]]
114,Jun,18,01:30:59,combo,sshd(pam_unix),31206.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']"
115,Jun,18,01:30:59,combo,sshd(pam_unix),31204.0,check pass; user unknown,E1,check pass; user unknown,[[]]
116,Jun,18,01:30:59,combo,sshd(pam_unix),31204.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']"
117,Jun,18,01:30:59,combo,sshd(pam_unix),31203.0,check pass; user unknown,E1,check pass; user unknown,[[]]
118,Jun,18,01:30:59,combo,sshd(pam_unix),31203.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']"
119,Jun,18,01:30:59,combo,sshd(pam_unix),31207.0,check pass; user unknown,E1,check pass; user unknown,[[]]
120,Jun,18,01:30:59,combo,sshd(pam_unix),31207.0,authentication failure; logname= uid=0 euid=0 tty=NODEVssh ruser= rhost=adsl-70-242-75-179.dsl.ksc2mo.swbell.net,E0,authentication failure; logname= uid= <*> euid= <*> tty= NODEVssh ruser= rhost= <*>,"[[], 'adsl-70-242-75-179.dsl.ksc2mo.swbell.net']"
