LineId,Date,Time,Pid,Tid,Level,Component,Content,EventId,EventTemplate,variables
53,03-17,16:13:40.308,2626,23469,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E16,shouldBlockLocation ret: false,[[]]
54,03-17,16:13:40.309,1702,2395,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
55,03-17,16:13:40.319,1702,17630,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
56,03-17,16:13:40.322,2626,2809,W,PhoneInterfaceManager,shouldBlockLocation running ...,E15,shouldBlockLocation running ...,[[]]
57,03-17,16:13:40.322,2626,2809,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E16,shouldBlockLocation ret: false,[[]]
58,03-17,16:13:40.324,1702,2113,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
59,03-17,16:13:40.332,1702,27357,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
60,03-17,16:13:40.334,1702,27357,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
61,03-17,16:13:40.343,1702,3697,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
62,03-17,16:13:40.345,1702,14638,D,PowerManagerService,"release:lock=166121161, flg=0x0, tag=""RILJ_ACK_WL"", name=com.android.phone"", ws=null, uid=1001, pid=2626",E73,"release: lock= <*> flg= <*> tag= <*> name= <*> ws= null, uid= <*> pid= <*>","[['com.android.phone', '166121161', '0x0', '1001', '2626'], '<*>,', '<*>,', '<*>,', '""RILJ_ACK_WL"",', '<*>"",']"
63,03-17,16:13:40.345,1702,14638,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
64,03-17,16:13:40.346,2626,2642,W,PhoneInterfaceManager,shouldBlockLocation running ...,E15,shouldBlockLocation running ...,[[]]
65,03-17,16:13:40.346,2626,2642,I,PhoneInterfaceManager,shouldBlockLocation  ret:false,E16,shouldBlockLocation ret: false,[[]]
66,03-17,16:13:41.480,1702,27357,D,PowerManagerService,"release:lock=264232593, flg=0x0, tag=""AudioMix"", name=audioserver"", ws=null, uid=1041, pid=0",E73,"release: lock= <*> flg= <*> tag= <*> name= <*> ws= null, uid= <*> pid= <*>","[['264232593', '0x0', '1041', '0'], '<*>,', '<*>,', '<*>,', '""AudioMix"",', 'audioserver"",']"
67,03-17,16:13:41.481,1702,27357,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x0', '0x1', '38', '1', '0', '0']]"
68,03-17,16:13:41.481,1702,27357,D,PowerManagerService,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",E135,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",[[]]
69,03-17,16:13:41.614,1702,1820,I,DisplayPowerController,HBM brightnessIn =38,E137,HBM brightnessIn = <*>,[['38']]
70,03-17,16:13:41.614,1702,1820,I,DisplayPowerController,HBM brightnessOut =38,E138,HBM brightnessOut = <*>,[['38']]
71,03-17,16:13:41.614,1702,1820,D,DisplayPowerController,"Animating brightness: target=38, rate=200",E107,Animating brightness: target= <*> rate= <*>,"[['38', '200']]"
72,03-17,16:13:45.307,1702,2105,D,PowerManagerService,"userActivityNoUpdateLocked: eventTime=261849942, event=2, flags=0x0, uid=1000",E65,userActivityNoUpdateLocked: eventTime= <*> event= <*> flags= <*> uid= <*>,"[['261849942', '2', '0x0', '1000']]"
73,03-17,16:13:45.308,1702,2105,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x0', '0x1', '38', '1', '0', '0']]"
74,03-17,16:13:45.310,2227,2227,I,PhoneStatusBar,suspendAutohide,E81,suspendAutohide,[[]]
75,03-17,16:13:45.316,1702,14640,D,WindowManager,interceptKeyTq keycode=4 interactive=true keyguardActive=false policyFlags=2b000002 down true canceled false,E150,interceptKeyTq keycode= <*> interactive= true keyguardActive= false policyFlags= <*> down true canceled false,"[['4', '2b000002']]"
76,03-17,16:13:45.317,1702,14640,D,WindowManager,"interceptKeyBeforeQueueing: key 4 , result : 1",E57,"interceptKeyBeforeQueueing: key <*> , result : <*>","[['4', '1']]"
77,03-17,16:13:45.317,1702,2105,D,PowerManagerService,"userActivityNoUpdateLocked: eventTime=261849949, event=1, flags=0x0, uid=1000",E65,userActivityNoUpdateLocked: eventTime= <*> event= <*> flags= <*> uid= <*>,"[['261849949', '1', '0x0', '1000']]"
78,03-17,16:13:45.318,1702,2105,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x0,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x0', '0x1', '38', '1', '0', '0']]"
79,03-17,16:13:45.358,2227,2227,I,PhoneStatusBar,resumeSuspendedAutohide,E82,resumeSuspendedAutohide,[[]]
80,03-17,16:13:45.361,1702,3137,D,WindowManager,interceptKeyTq keycode=4 interactive=true keyguardActive=false policyFlags=2b000002 down false canceled false,E151,interceptKeyTq keycode= <*> interactive= true keyguardActive= false policyFlags= <*> down false canceled false,"[['4', '2b000002']]"
81,03-17,16:13:45.362,1702,3137,D,WindowManager,"interceptKeyBeforeQueueing: key 4 , result : 1",E57,"interceptKeyBeforeQueueing: key <*> , result : <*>","[['4', '1']]"
82,03-17,16:13:45.362,2227,2318,V,AudioManager,querySoundEffectsEnabled...,E83,querySoundEffectsEnabled...,[[]]
83,03-17,16:13:45.382,1702,3697,D,PowerManagerService,"acquire lock=189667585, flags=0x1, tag=""*launch*"", name=android, ws=WorkSource{10113}, uid=1000, pid=1702",E75,acquire lock= <*> flags= <*> tag= <*> name= <*> ws= <*> uid= <*> pid= <*>,"[['189667585', '0x1', '10113', '1000', '1702'], '<*>,', '<*>,', '<*>,', '""*launch*"",', 'android,']"
84,03-17,16:13:45.382,1702,3697,D,PowerManagerService,"ready=true,policy=3,wakefulness=1,wksummary=0x1,uasummary=0x1,bootcompleted=true,boostinprogress=false,waitmodeenable=false,mode=false,manual=38,auto=-1,adj=0.0userId=0",E6,"ready= true, policy= <*> wakefulness= <*> wksummary= <*> uasummary= <*> bootcompleted= true, boostinprogress= false, waitmodeenable= false, mode= false, manual= <*> auto= <*> adj= <*> <*>","[['3', '1', '0x1', '0x1', '38', '1', '0', '0']]"
85,03-17,16:13:45.382,1702,3697,D,PowerManagerService,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",E136,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",[[]]
86,03-17,16:13:45.402,1702,3694,V,WindowManager,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,E9,Skipping <*> token= <*> <*> <*> <*> <*> -- going to hide,"[['com.tencent.qt.qtl', 'activity.info.NewsDetailXmlActivity', '9f4ef63', 'a64f992', 'de9231d']]"
