LineId,Time,Component,Pid,Content,EventId,EventTemplate
89,20171223-22:15:35:413,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7018##548365##8661##13311##27179732,E1,setTodayTotalDetailSteps= <*>
90,20171223-22:15:35:418,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127011,E19,calculateCaloriesWithCache totalCalories= <*>
91,20171223-22:15:35:421,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
92,20171223-22:15:35:421,Step_StandReportReceiver,30002312,REPORT : 7018 5010 150325 240,E41,REPORT <*> <*> <*> <*> <*>
93,20171223-22:15:35:848,Step_LSC,30002312,onStandStepChanged 3591,E0,onStandStepChanged <*>
94,20171223-22:15:35:852,Step_LSC,30002312,onExtend:1514038536000 1 0 4,E8,onExtend: <*> <*> <*> <*>
95,20171223-22:15:36:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7018##548365##8661##13311##27179732,E33, getTodayTotalDetailSteps = <*>
96,20171223-22:15:36:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7019##548365##8661##13406##27180468,E1,setTodayTotalDetailSteps= <*>
97,20171223-22:15:36:154,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127032,E19,calculateCaloriesWithCache totalCalories= <*>
98,20171223-22:15:36:157,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
99,20171223-22:15:36:157,Step_StandReportReceiver,30002312,REPORT : 7019 5011 150346 240,E41,REPORT <*> <*> <*> <*> <*>
100,20171223-22:15:36:356,Step_LSC,30002312,onStandStepChanged 3592,E0,onStandStepChanged <*>
101,20171223-22:15:36:365,Step_LSC,30002312,onExtend:1514038537000 1 0 4,E8,onExtend: <*> <*> <*> <*>
102,20171223-22:15:36:657,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7019##548365##8661##13406##27180468,E33, getTodayTotalDetailSteps = <*>
103,20171223-22:15:36:657,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7020##548365##8661##13501##27180976,E1,setTodayTotalDetailSteps= <*>
104,20171223-22:15:36:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127054,E19,calculateCaloriesWithCache totalCalories= <*>
105,20171223-22:15:36:672,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
106,20171223-22:15:36:673,Step_StandReportReceiver,30002312,REPORT : 7020 5012 150368 240,E41,REPORT <*> <*> <*> <*> <*>
107,20171223-22:15:37:351,Step_LSC,30002312,onStandStepChanged 3593,E0,onStandStepChanged <*>
108,20171223-22:15:37:361,Step_LSC,30002312,onExtend:1514038538000 1 0 4,E8,onExtend: <*> <*> <*> <*>
109,20171223-22:15:37:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7020##548365##8661##13501##27180976,E33, getTodayTotalDetailSteps = <*>
110,20171223-22:15:37:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7021##548365##8661##13596##27181971,E1,setTodayTotalDetailSteps= <*>
111,20171223-22:15:37:666,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127075,E19,calculateCaloriesWithCache totalCalories= <*>
112,20171223-22:15:37:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
113,20171223-22:15:37:671,Step_StandReportReceiver,30002312,REPORT : 7021 5012 150389 240,E41,REPORT <*> <*> <*> <*> <*>
114,20171223-22:15:37:848,Step_LSC,30002312,onStandStepChanged 3594,E0,onStandStepChanged <*>
115,20171223-22:15:37:858,Step_LSC,30002312,onExtend:1514038538000 1 0 4,E8,onExtend: <*> <*> <*> <*>
116,20171223-22:15:38:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7021##548365##8661##13596##27181971,E33, getTodayTotalDetailSteps = <*>
117,20171223-22:15:38:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7022##548365##8661##13691##27182468,E1,setTodayTotalDetailSteps= <*>
118,20171223-22:15:38:159,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127097,E19,calculateCaloriesWithCache totalCalories= <*>
119,20171223-22:15:38:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
120,20171223-22:15:38:164,Step_StandReportReceiver,30002312,REPORT : 7022 5013 150411 240,E41,REPORT <*> <*> <*> <*> <*>
121,20171223-22:15:38:349,Step_LSC,30002312,onStandStepChanged 3595,E0,onStandStepChanged <*>
122,20171223-22:15:38:361,Step_LSC,30002312,onExtend:1514038539000 1 0 4,E8,onExtend: <*> <*> <*> <*>
123,20171223-22:15:38:653,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7022##548365##8661##13691##27182468,E33, getTodayTotalDetailSteps = <*>
124,20171223-22:15:38:654,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7023##548365##8661##13786##27182973,E1,setTodayTotalDetailSteps= <*>
125,20171223-22:15:38:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127118,E19,calculateCaloriesWithCache totalCalories= <*>
126,20171223-22:15:38:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
127,20171223-22:15:38:669,Step_StandReportReceiver,30002312,REPORT : 7023 5014 150432 240,E41,REPORT <*> <*> <*> <*> <*>
128,20171223-22:15:38:850,Step_LSC,30002312,onStandStepChanged 3596,E0,onStandStepChanged <*>
129,20171223-22:15:38:868,Step_LSC,30002312,onExtend:1514038539000 1 0 4,E8,onExtend: <*> <*> <*> <*>
130,20171223-22:15:39:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7023##548365##8661##13786##27182973,E33, getTodayTotalDetailSteps = <*>
131,20171223-22:15:39:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7024##548365##8661##13881##27183469,E1,setTodayTotalDetailSteps= <*>
132,20171223-22:15:39:155,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127139,E19,calculateCaloriesWithCache totalCalories= <*>
133,20171223-22:15:39:156,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
134,20171223-22:15:39:156,Step_StandReportReceiver,30002312,REPORT : 7024 5015 150454 240,E41,REPORT <*> <*> <*> <*> <*>
135,20171223-22:15:39:348,Step_LSC,30002312,onStandStepChanged 3597,E0,onStandStepChanged <*>
136,20171223-22:15:39:354,Step_LSC,30002312,onExtend:1514038540000 1 0 4,E8,onExtend: <*> <*> <*> <*>
137,20171223-22:15:39:655,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7024##548365##8661##13881##27183469,E33, getTodayTotalDetailSteps = <*>
138,20171223-22:15:39:656,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7025##548365##8661##13976##27183974,E1,setTodayTotalDetailSteps= <*>
139,20171223-22:15:39:665,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127161,E19,calculateCaloriesWithCache totalCalories= <*>
140,20171223-22:15:39:669,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
141,20171223-22:15:39:669,Step_StandReportReceiver,30002312,REPORT : 7025 5015 150475 240,E41,REPORT <*> <*> <*> <*> <*>
142,20171223-22:15:40:349,Step_LSC,30002312,onStandStepChanged 3598,E0,onStandStepChanged <*>
143,20171223-22:15:40:365,Step_LSC,30002312,onExtend:1514038541000 1 0 4,E8,onExtend: <*> <*> <*> <*>
144,20171223-22:15:40:652,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7025##548365##8661##13976##27183974,E33, getTodayTotalDetailSteps = <*>
145,20171223-22:15:40:653,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7026##548365##8661##14071##27184972,E1,setTodayTotalDetailSteps= <*>
146,20171223-22:15:40:668,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127182,E19,calculateCaloriesWithCache totalCalories= <*>
147,20171223-22:15:40:675,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
148,20171223-22:15:40:676,Step_StandReportReceiver,30002312,REPORT : 7026 5016 150496 240,E41,REPORT <*> <*> <*> <*> <*>
149,20171223-22:15:40:848,Step_LSC,30002312,onStandStepChanged 3599,E0,onStandStepChanged <*>
150,20171223-22:15:40:852,Step_LSC,30002312,onExtend:1514038541000 1 0 4,E8,onExtend: <*> <*> <*> <*>
151,20171223-22:15:41:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7026##548365##8661##14071##27184972,E33, getTodayTotalDetailSteps = <*>
152,20171223-22:15:41:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7027##548365##8661##14166##27185467,E1,setTodayTotalDetailSteps= <*>
153,20171223-22:15:41:152,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127204,E19,calculateCaloriesWithCache totalCalories= <*>
154,20171223-22:15:41:153,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
155,20171223-22:15:41:153,Step_StandReportReceiver,30002312,REPORT : 7027 5017 150518 240,E41,REPORT <*> <*> <*> <*> <*>
156,20171223-22:15:41:353,Step_LSC,30002312,onStandStepChanged 3600,E0,onStandStepChanged <*>
157,20171223-22:15:41:358,Step_LSC,30002312,onExtend:1514038542000 1 0 4,E8,onExtend: <*> <*> <*> <*>
158,20171223-22:15:41:658,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7027##548365##8661##14166##27185467,E33, getTodayTotalDetailSteps = <*>
159,20171223-22:15:41:658,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7028##548365##8661##14261##27185977,E1,setTodayTotalDetailSteps= <*>
160,20171223-22:15:41:667,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127225,E19,calculateCaloriesWithCache totalCalories= <*>
161,20171223-22:15:41:670,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
162,20171223-22:15:41:672,Step_StandReportReceiver,30002312,REPORT : 7028 5017 150539 240,E41,REPORT <*> <*> <*> <*> <*>
163,20171223-22:15:41:848,Step_LSC,30002312,onStandStepChanged 3601,E0,onStandStepChanged <*>
164,20171223-22:15:41:856,Step_LSC,30002312,onExtend:1514038542000 1 0 4,E8,onExtend: <*> <*> <*> <*>
165,20171223-22:15:42:150,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7028##548365##8661##14261##27185977,E33, getTodayTotalDetailSteps = <*>
166,20171223-22:15:42:151,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7029##548365##8661##14356##27186469,E1,setTodayTotalDetailSteps= <*>
167,20171223-22:15:42:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127246,E19,calculateCaloriesWithCache totalCalories= <*>
168,20171223-22:15:42:164,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
169,20171223-22:15:42:165,Step_StandReportReceiver,30002312,REPORT : 7029 5018 150561 240,E41,REPORT <*> <*> <*> <*> <*>
170,20171223-22:15:42:848,Step_LSC,30002312,onStandStepChanged 3602,E0,onStandStepChanged <*>
171,20171223-22:15:42:852,Step_LSC,30002312,onExtend:1514038543000 1 0 4,E8,onExtend: <*> <*> <*> <*>
172,20171223-22:15:43:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7029##548365##8661##14356##27186469,E33, getTodayTotalDetailSteps = <*>
173,20171223-22:15:43:149,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7030##548365##8661##14451##27187468,E1,setTodayTotalDetailSteps= <*>
174,20171223-22:15:43:160,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127268,E19,calculateCaloriesWithCache totalCalories= <*>
175,20171223-22:15:43:163,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
176,20171223-22:15:43:164,Step_StandReportReceiver,30002312,REPORT : 7030 5019 150582 240,E41,REPORT <*> <*> <*> <*> <*>
177,20171223-22:15:43:348,Step_LSC,30002312,onStandStepChanged 3603,E0,onStandStepChanged <*>
178,20171223-22:15:43:354,Step_LSC,30002312,onExtend:1514038544000 1 0 4,E8,onExtend: <*> <*> <*> <*>
179,20171223-22:15:43:649,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7030##548365##8661##14451##27187468,E33, getTodayTotalDetailSteps = <*>
180,20171223-22:15:43:650,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7031##548365##8661##14546##27187968,E1,setTodayTotalDetailSteps= <*>
181,20171223-22:15:43:677,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127289,E19,calculateCaloriesWithCache totalCalories= <*>
182,20171223-22:15:43:679,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
183,20171223-22:15:43:679,Step_StandReportReceiver,30002312,REPORT : 7031 5020 150604 240,E41,REPORT <*> <*> <*> <*> <*>
184,20171223-22:15:43:850,Step_LSC,30002312,onStandStepChanged 3604,E0,onStandStepChanged <*>
185,20171223-22:15:43:861,Step_LSC,30002312,onExtend:1514038544000 1 0 4,E8,onExtend: <*> <*> <*> <*>
186,20171223-22:15:44:152,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7031##548365##8661##14546##27187968,E33, getTodayTotalDetailSteps = <*>
187,20171223-22:15:44:152,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7032##548365##8661##14641##27188471,E1,setTodayTotalDetailSteps= <*>
188,20171223-22:15:44:163,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127311,E19,calculateCaloriesWithCache totalCalories= <*>
189,20171223-22:15:44:166,Step_ExtSDM,30002312,calculateAltitudeWithCache totalAltitude=240,E20,calculateAltitudeWithCache totalAltitude= <*>
190,20171223-22:15:44:170,Step_StandReportReceiver,30002312,REPORT : 7032 5020 150625 240,E41,REPORT <*> <*> <*> <*> <*>
191,20171223-22:15:44:849,Step_LSC,30002312,onStandStepChanged 3605,E0,onStandStepChanged <*>
192,20171223-22:15:44:863,Step_LSC,30002312,onExtend:1514038545000 1 0 4,E8,onExtend: <*> <*> <*> <*>
193,20171223-22:15:45:149,Step_SPUtils,30002312, getTodayTotalDetailSteps = 1514038440000##7032##548365##8661##14641##27188471,E33, getTodayTotalDetailSteps = <*>
194,20171223-22:15:45:150,Step_SPUtils,30002312,setTodayTotalDetailSteps=1514038440000##7033##548365##8661##14736##27189469,E1,setTodayTotalDetailSteps= <*>
195,20171223-22:15:45:158,Step_ExtSDM,30002312,calculateCaloriesWithCache totalCalories=127332,E19,calculateCaloriesWithCache totalCalories= <*>
