LineId,Time,Program,Content,EventId,EventTemplate,variables
21,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1165 bytes (1.13 KB) sent, 783 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.13', 'KB'], '1165', '783']"
22,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 850 bytes sent, 10547 bytes (10.2 KB) received, lifetime 00:02",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '10.2', '00:02', 'KB'], '850', '10547']"
23,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 408 bytes sent, 421 bytes received, lifetime 00:03",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:03'], '421', '408']"
24,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1165 bytes (1.13 KB) sent, 0 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.13', 'KB'], '0', '1165']"
25,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
26,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
27,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070'], '0', '0']"
28,10.30 16:49:09,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 19904 bytes (19.4 KB) sent, 27629 bytes (26.9 KB) received, lifetime 02:19",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '19.4', '26.9', '02:19', 'KB', 'KB'], '19904', '27629']"
29,10.30 16:49:09,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
30,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1118 bytes (1.09 KB) sent, 340 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.09', 'KB'], '1118', '340']"
31,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
32,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
33,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1143 bytes (1.11 KB) sent, 365 bytes received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.11', '00:01', 'KB'], '1143', '365']"
34,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1093 bytes (1.06 KB) sent, 1006 bytes received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.06', '00:01', 'KB'], '1093', '1006']"
35,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 428 bytes sent, 5365 bytes (5.23 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '5.23', 'KB'], '428', '5365']"
36,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
37,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
38,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070'], '0', '0']"
39,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1268 bytes (1.23 KB) sent, 6274 bytes (6.12 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.23', '6.12', 'KB', 'KB'], '1268', '6274']"
40,10.30 16:49:10,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 845 bytes sent, 12076 bytes (11.7 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '11.7', 'KB'], '845', '12076']"
41,10.30 16:49:10,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
42,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
43,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
44,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
45,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
46,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
47,10.30 16:49:11,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 431 bytes sent, 7896 bytes (7.71 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '7.71', 'KB'], '431', '7896']"
48,10.30 16:49:11,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 431 bytes sent, 9780 bytes (9.55 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '9.55', 'KB'], '431', '9780']"
49,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
50,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
51,10.30 16:49:11,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
52,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1590 bytes (1.55 KB) sent, 472 bytes received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '1.55', '00:01', 'KB'], '472', '1590']"
53,10.30 16:49:12,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
54,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 416 bytes sent, 10670 bytes (10.4 KB) received, lifetime 00:01",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '10.4', '00:01', 'KB'], '416', '10670']"
55,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070'], '0', '0']"
56,10.30 16:49:12,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
57,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1327 bytes (1.29 KB) sent, 3250 bytes (3.17 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.29', '3.17', 'KB', 'KB'], '1327', '3250']"
58,10.30 16:49:12,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
59,10.30 16:49:12,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1107 bytes (1.08 KB) sent, 29322 bytes (28.6 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.08', '28.6', 'KB', 'KB'], '1107', '29322']"
60,10.30 16:49:12,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
61,10.30 16:49:15,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
62,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime 00:17",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '00:17'], '0', '0']"
63,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
64,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
65,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
66,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
67,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
68,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1133 bytes (1.10 KB) sent, 11393 bytes (11.1 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.10', '11.1', 'KB', 'KB'], '1133', '11393']"
69,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
70,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 483 bytes sent, 342 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070'], '483', '342']"
71,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1210 bytes (1.18 KB) sent, 366 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.18', 'KB'], '366', '1210']"
72,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
73,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070'], '0', '0']"
74,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 697 bytes sent, 324 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070'], '697', '324']"
75,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 704 bytes sent, 2476 bytes (2.41 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '2.41', 'KB'], '704', '2476']"
76,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 7829 bytes (7.64 KB) sent, 578548 bytes (564 KB) received, lifetime 00:18",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '7.64', '00:18', 'KB', 'KB'], '7829', '578548']"
77,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 3425 bytes (3.34 KB) sent, 212164 bytes (207 KB) received, lifetime 00:18",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['proxy.cse.cuhk.edu.hk:5070', '3.34', '00:18', 'KB', 'KB'], '3425', '212164']"
78,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070'], '0', '0']"
79,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
80,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
81,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
82,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
83,10.30 16:49:28,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
84,10.30 16:49:28,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 934 bytes sent, 5869 bytes (5.73 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '5.73', 'KB'], '934', '5869']"
85,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
86,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1325 bytes (1.29 KB) sent, 514 bytes received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.29', 'KB'], '1325', '514']"
87,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 1293 bytes (1.26 KB) sent, 2439 bytes (2.38 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '1.26', '2.38', 'KB', 'KB'], '1293', '2439']"
88,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
89,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
90,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
91,10.30 16:49:29,chrome.exe,proxy.cse.cuhk.edu.hk:5070 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,E0,<*> open through proxy <*> HTTPS,"[['proxy.cse.cuhk.edu.hk:5070', 'proxy.cse.cuhk.edu.hk:5070']]"
92,10.30 16:49:29,chrome.exe,"proxy.cse.cuhk.edu.hk:5070 close, 508 bytes sent, 29786 bytes (29.0 KB) received, lifetime <1 sec",E2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","[['<1 sec', 'proxy.cse.cuhk.edu.hk:5070', '29.0', 'KB'], '508', '29786']"
